RemoteRecords SE Delegation DORA PSE
0 11.63474388 15.40014848 14.8596882 19.69710468
1 11.7268003 8.071269488 6.004454343 4.899777283
2 10.66963623 5.61247216 4.329621381 1.870824053
3 11.13585746 4.258351893 3.545657016 1.051224944
4 11.31403118 3.438752784 2.975501114 0.659242762
5 11.31403118 2.975501114 2.547884187 0.481069042
6 11.20712695 2.547884187 2.262806236 0.338530067
7 11.34966592 2.191536748 2.013363029 0.302895323
8 11.02895323 1.977728285 1.83518931 0.231625835
9 11.13585746 1.83518931 1.683741648 0.195991091
10 11.45657016 1.609502598 1.692650334 0.184112843
