seconds district
0.000547733 22
0.002191068 89
0.007121075 6
0.00876441 75
0.010955524 97
0.03204495 41
0.049573953 1
0.051217288 3
0.071485046 41
0.074771717 70
0.07751061 62
0.08079728 4
0.082440616 78
0.084083951 73
0.092848407 33
0.094491742 90
0.096682856 79
0.102160641 98
0.10982954 15
0.111472875 74
0.113116211 9
0.115307325 86
0.11695066 3
0.119141774 24
0.121880667 19
0.123524002 47
0.129001787 70
0.138314021 61
0.140505135 95
0.143517917 44
0.145161252 27
0.147352366 67
0.150091258 53
0.151734594 64
0.153377929 30
0.165976834 50
0.168715727 91
0.170359062 33
0.172550176 31
0.175836847 52
0.179123518 64
0.181314632 17
0.183505746 28
0.18569686 71
0.204321328 91
0.207607999 16
0.209799113 74
0.212538005 74
0.216372455 48
0.21801579 64
0.232805809 99
0.234449145 6
0.23609248 50
0.239379151 38
0.242118043 99
0.244309157 71
0.24704805 73
0.250882499 25
0.253621391 42
0.255264727 63
0.2686853 72
0.271424192 77
0.273067528 9
0.274710863 70
0.279093091 14
0.280736426 89
0.284023097 16
0.311412021 4
0.314698692 75
0.316342028 90
0.317985363 87
0.319628699 59
0.322367591 75
0.335514274 56
0.338800945 6
0.340992059 76
0.345374287 93
0.348660958 95
0.351947629 20
0.353590964 45
0.3552343 19
0.368380983 23
0.371941544 73
0.374132657 34
0.378514885 47
0.381253778 25
0.383444892 17
0.387827119 70
0.389470455 83
0.39111379 70
0.393304904 94
0.395496018 49
0.397139354 54
0.398782689 79
0.400426025 87
0.403712695 35
0.405903809 42
0.407547145 8
0.410286037 4
0.411929373 16
0.413572708 13
0.416311601 57
0.417954936 3
0.419598271 65
0.421789385 54
0.423432721 57
0.425623835 10
0.427814949 34
0.430553841 76
0.43438829 43
0.436031626 47
0.437674961 88
0.439866075 98
0.459586101 40
0.461229436 21
0.462872771 32
0.464516107 91
0.466159442 15
0.467802778 84
0.469446113 90
0.472185006 72
0.473828341 17
0.476567234 61
0.478210569 37
0.480401683 54
0.483140575 30
0.484783911 52
0.487796692 30
0.490535585 64
0.493274477 69
0.495465591 5
0.498752262 4
0.500395598 11
0.502038933 98
0.504230047 58
0.507516718 21
0.509160053 98
0.511898946 93
0.513542281 34
0.516281173 10
0.518472287 70
0.520663401 27
0.522306737 55
0.524497851 71
0.526141186 20
0.529427857 98
0.531071192 4
0.533262306 91
0.536548977 92
0.545313433 98
0.547504547 95
0.549147882 14
0.552434553 17
0.555721224 12
0.55736456 13
0.559555674 9
0.563390123 11
0.565033458 2
0.567772351 29
0.572154579 2
0.573797914 40
0.577632363 46
0.579823477 79
0.581466813 61
0.584205705 77
0.586944598 94
0.589135712 73
0.592422382 23
0.594065718 56
0.595709053 35
0.597352389 58
0.599543503 68
0.602008506 22
0.603651841 18
0.605842955 95
0.607486291 41
0.612416297 44
0.614059632 66
0.615702968 99
0.618989639 30
0.621180753 30
0.625015202 79
0.628301873 89
0.629945208 10
0.631588544 28
0.633231879 76
0.634327436 41
0.637614107 64
0.646926341 86
0.649117455 29
0.651308569 84
0.652951905 85
0.65459524 47
0.656786354 4
0.659525246 62
0.662264139 3
0.665003031 81
0.667741924 86
0.669933038 95
0.67267193 28
0.675410822 90
0.677601936 95
0.679245272 20
0.681984164 40
0.6836275 33
0.686366392 10
0.689105284 40
0.691296398 68
0.692939734 97
0.696226405 97
0.698965297 37
0.701156411 88
0.704443082 91
0.706086417 93
0.708277531 23
0.709920867 81
0.711564202 23
0.714576984 86
0.716220319 43
0.717863655 62
0.71950699 59
0.721698104 93
0.72334144 4
0.727175889 41
0.729367003 94
0.731010338 72
0.740322573 80
0.741965908 80
0.743609243 74
0.745252579 64
0.747991471 24
0.749634807 6
0.751278142 29
0.752921478 4
0.75566037 26
0.759494819 23
0.762233712 8
0.763877047 30
0.765520383 44
0.768259275 19
0.770998168 41
0.772641503 30
0.774284838 33
0.777571509 56
0.778667066 81
0.78085818 52
0.783049294 46
0.786335965 73
0.7879793 84
0.790170414 53
0.793457085 13
0.796195978 54
0.79893487 38
0.800030427 86
0.803317098 88
0.804960433 29
0.807151547 85
0.809342661 82
0.810985997 74
0.813724889 95
0.816463782 82
0.818107117 2
0.820846009 82
0.822489345 30
0.833718804 2
0.842483259 58
0.844126595 99
0.84576993 45
0.847961044 98
0.84960438 53
0.851247715 99
0.852891051 79
0.8567255 52
0.858368835 61
0.861107728 78
0.862751063 51
0.864394399 89
0.867133291 25
0.87096774 48
0.872611076 87
0.874254411 83
0.875897747 41
0.877541082 40
0.880827753 63
0.882471089 58
0.884114424 77
0.885757759 35
0.887948873 20
0.889592209 73
0.891235544 27
0.893426658 65
0.895069994 18
0.897808886 79
0.899452222 90
